fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,quality
7.4,0.7,0.0,1.9,76.0,11.0,34.0,9.978,3.51,0.56,9.4,red,5.0
7.8,0.88,0.0,2.6,98.0,25.0,67.0,9.968,3.2,0.68,9.8,red,5.0
7.8,0.76,0.04,2.3,92.0,15.0,54.0,997.0,3.26,0.65,9.8,red,5.0
11.2,0.28,0.56,1.9,75.0,17.0,60.0,998.0,3.16,0.58,9.8,red,6.0
None,0.7,0.0,1.9,76.0,11.0,34.0,9.978,3.51,0.56,9.4,red,5.0
7.4,0.66,0.0,1.8,75.0,13.0,40.0,9.978,3.51,0.56,9.4,red,5.0
7.9,0.6,0.06,1.6,69.0,15.0,59.0,9.964,3.3,0.46,9.4,red,5.0
7.3,0.65,0.0,1.2,65.0,15.0,21.0,9.946,3.39,0.47,10,red,7.0
7.8,0.58,0.02,2.0,73.0,9.0,18.0,9.968,3.36,0.57,9.5,red,7.0
7.5,0.5,0.36,6.1,71.0,17.0,102.0,9.978,3.35,0.8,10.5,red,5.0
6.7,0.58,0.08,1.8,97.0,15.0,65.0,9.959,3.28,0.54,9.2,red,5.0
7.5,0.5,0.36,6.1,71.0,17.0,102.0,9.978,3.35,0.8,10.5,red,5.0
5.6,615.0,0.0,1.6,89.0,16.0,59.0,9.943,3.58,0.52,9.9,red,5.0
7.8,0.61,0.29,1.6,114.0,9.0,29.0,9.974,3.26,1.56,9.1,red,5.0
8.9,0.62,0.18,3.8,176.0,52.0,145.0,9.986,3.16,0.88,9.2,red,5.0
8.9,0.62,0.19,3.9,0.17,51.0,148.0,9.986,3.17,0.93,9.2,red,5.0
8.5,0.28,0.56,1.8,92.0,35.0,103.0,9.969,3.3,0.75,10.5,red,7.0
8.1,0.56,0.28,1.7,368.0,16.0,56.0,9.968,3.11,1.28,9.3,red,5.0
7.4,0.59,0.08,4.4,86.0,6.0,29.0,9.974,3.38,0.5,9,red,4.0
7.9,0.32,0.51,1.8,341.0,17.0,56.0,9.969,3.04,1.08,9.2,red,6.0
8.9,0.22,0.48,1.8,77.0,29.0,60.0,9.968,3.39,0.53,9.4,red,6.0
7.6,0.39,0.31,2.3,82.0,23.0,71.0,9.982,3.52,0.65,9.7,red,5.0
7.9,0.43,0.21,1.6,106.0,10.0,37.0,9.966,3.17,0.91,9.5,red,5.0
8.5,0.49,0.11,2.3,84.0,9.0,67.0,9.968,3.17,0.53,9.4,red,5.0
6.9,0.4,0.14,2.4,85.0,21.0,40.0,9.968,3.43,0.63,9.7,red,6.0
6.3,0.39,0.16,1.4,0.08,11.0,23.0,9.955,3.34,0.56,9.3,red,5.0
7.6,0.41,0.24,1.8,0.08,4.0,11.0,9.962,3.28,0.59,9.5,red,5.0
7.9,0.43,0.21,1.6,106.0,10.0,37.0,9.966,3.17,0.91,9.5,red,5.0
7.1,0.71,0.0,1.9,0.08,14.0,35.0,9.972,3.47,0.55,9.4,red,5.0
7.8,645.0,0.0,2.0,82.0,8.0,16.0,9.964,3.38,0.59,9.8,red,6.0
6.7,675.0,0.07,2.4,89.0,17.0,82.0,9.958,3.35,0.54,10.1,red,5.0
6.9,685.0,0.0,2.5,105.0,22.0,37.0,9.966,3.46,0.57,10.6,red,6.0
8.3,655.0,0.12,2.3,83.0,15.0,113.0,9.966,3.17,0.66,9.8,red,5.0
6.9,605.0,0.12,10.7,73.0,40.0,83.0,9.993,3.45,0.52,9.4,red,6.0
5.2,0.32,0.25,1.8,103.0,13.0,50.0,9.957,3.38,0.55,9.2,red,5.0
7.8,645.0,0.0,5.5,86.0,5.0,18.0,9.986,3.4,0.55,9.6,red,6.0
7.8,0.6,0.14,2.4,86.0,3.0,15.0,9.975,3.42,0.6,10.8,red,6.0
8.1,0.38,0.28,2.1,66.0,13.0,30.0,9.968,3.23,0.73,9.7,red,7.0
5.7,1.13,0.09,1.5,172.0,7.0,19.0,994.0,3.5,0.48,9.8,red,4.0
7.3,0.45,0.36,5.9,74.0,12.0,87.0,9.978,3.33,0.83,10.5,red,5.0
